日期,开盘,收盘,最高,最低,成交量
2026-02-06,0.99,0.987,1.0,0.985,1309056.0
2026-02-09,0.993,1.005,1.007,0.993,1680128.0
2026-02-10,1.005,1.034,1.039,1.001,2736493.0
2026-02-11,1.034,1.046,1.068,1.033,2292351.0
2026-02-12,1.034,1.068,1.08,1.033,1555850.0
2026-02-13,1.061,1.07,1.08,1.055,1187117.0
2026-02-24,1.076,1.106,1.119,1.071,1732542.0
2026-02-25,1.106,1.112,1.128,1.097,2156988.0
2026-02-26,1.1,1.13,1.13,1.1,1934731.0
2026-02-27,1.13,1.126,1.142,1.115,1774071.0
2026-03-02,1.182,1.125,1.182,1.114,3245401.0
2026-03-03,1.131,1.088,1.144,1.086,2626891.0
2026-03-04,1.066,1.107,1.115,1.054,2016007.0
2026-03-05,1.115,1.113,1.127,1.108,1544763.0
2026-03-06,1.111,1.148,1.158,1.105,2304889.0
2026-03-09,1.139,1.106,1.139,1.1,2240691.0
2026-03-10,1.1,1.113,1.137,1.1,1355282.0
